"var1","var2","complete_case","mean_imputed","sd_imputed","lower_2.5","upper_97.5","difference","absolute_difference"
"identity","DEN",0.243,0.243,0,0.243,0.243,0,0
"concern","DEN",0.174,0.174,0,0.174,0.174,0,0
"coherence","DEN",-0.286,-0.286,0,-0.286,-0.286,0,0
"emot_rep","DEN",0.028,0.028,0,0.028,0.028,0,0
"AC","DEN",-0.101,-0.101,0,-0.101,-0.101,0,0
"consequences","SU",-0.047,-0.047,0,-0.047,-0.047,0,0
"timeline","SU",-0.024,-0.024,0,-0.024,-0.024,0,0
"pers_control","SU",0.1,0.1,0,0.1,0.1,0,0
"treat_control","SU",-0.1,-0.1,0,-0.1,-0.1,0,0
"identity","SU",-0.058,-0.058,0,-0.058,-0.058,0,0
"concern","SU",0.01,0.01,0,0.01,0.01,0,0
"coherence","SU",-0.098,-0.098,0,-0.098,-0.098,0,0
"emot_rep","SU",-0.107,-0.107,0,-0.107,-0.107,0,0
"AC","SU",-0.049,-0.049,0,-0.049,-0.049,0,0
"DEN","SU",-0.087,-0.087,0,-0.087,-0.087,0,0
"consequences","UES",-0.039,-0.039,0,-0.039,-0.039,0,0
"timeline","UES",-0.136,-0.136,0,-0.136,-0.136,0,0
"pers_control","UES",0.124,0.124,0,0.124,0.124,0,0
"treat_control","UES",0.324,0.324,0,0.324,0.324,0,0
"identity","UES",0.114,0.114,0,0.114,0.114,0,0
"concern","UES",0.013,0.013,0,0.013,0.013,0,0
"coherence","UES",0.277,0.277,0,0.277,0.277,0,0
"emot_rep","UES",0.259,0.259,0,0.259,0.259,0,0
"AC","UES",0.393,0.393,0,0.393,0.393,0,0
"DEN","UES",-0.188,-0.188,0,-0.188,-0.188,0,0
"SU","UES",-0.17,-0.17,0,-0.17,-0.17,0,0
"consequences","UIS",0.02,0.02,0,0.02,0.02,0,0
"timeline","UIS",-0.183,-0.183,0,-0.183,-0.183,0,0
"pers_control","UIS",-0.004,-0.004,0,-0.004,-0.004,0,0
"treat_control","UIS",0.345,0.345,0,0.345,0.345,0,0
"identity","UIS",0.2,0.2,0,0.2,0.2,0,0
"concern","UIS",0.087,0.087,0,0.087,0.087,0,0
"coherence","UIS",0.216,0.216,0,0.216,0.216,0,0
"emot_rep","UIS",0.215,0.215,0,0.215,0.215,0,0
"AC","UIS",0.436,0.436,0,0.436,0.436,0,0
"DEN","UIS",-0.133,-0.133,0,-0.133,-0.133,0,0
"SU","UIS",-0.135,-0.135,0,-0.135,-0.135,0,0
"UES","UIS",0.707,0.707,0,0.707,0.707,0,0
"consequences","BD",0.257,0.257,0,0.257,0.257,0,0
"timeline","BD",0.202,0.202,0,0.202,0.202,0,0
"pers_control","BD",-0.201,-0.201,0,-0.201,-0.201,0,0
"treat_control","BD",-0.171,-0.171,0,-0.171,-0.171,0,0
"identity","BD",0.114,0.114,0,0.114,0.114,0,0
"concern","BD",0.07,0.07,0,0.07,0.07,0,0
"coherence","BD",-0.174,-0.174,0,-0.174,-0.174,0,0
"emot_rep","BD",0.034,0.034,0,0.034,0.034,0,0
"AC","BD",-0.519,-0.519,0,-0.519,-0.519,0,0
"DEN","BD",0.262,0.262,0,0.262,0.262,0,0
"SU","BD",0.059,0.059,0,0.059,0.059,0,0
"UES","BD",-0.423,-0.423,0,-0.423,-0.423,0,0
"UIS","BD",-0.244,-0.244,0,-0.244,-0.244,0,0
"consequences","VEN",-0.141,-0.141,0,-0.141,-0.141,0,0
"timeline","VEN",-0.291,-0.291,0,-0.291,-0.291,0,0
"pers_control","VEN",0.236,0.236,0,0.236,0.236,0,0
"treat_control","VEN",0.075,0.075,0,0.075,0.075,0,0
"identity","VEN",-0.055,-0.055,0,-0.055,-0.055,0,0
"concern","VEN",-0.182,-0.182,0,-0.182,-0.182,0,0
"coherence","VEN",0.176,0.176,0,0.176,0.176,0,0
"emot_rep","VEN",-0.083,-0.083,0,-0.083,-0.083,0,0
"AC","VEN",0.154,0.154,0,0.154,0.154,0,0
"DEN","VEN",-0.137,-0.137,0,-0.137,-0.137,0,0
"SU","VEN",0.094,0.094,0,0.094,0.094,0,0
"UES","VEN",0.238,0.238,0,0.238,0.238,0,0
"UIS","VEN",0.289,0.289,0,0.289,0.289,0,0
"BD","VEN",-0.11,-0.11,0,-0.11,-0.11,0,0
"consequences","PF",-0.155,-0.155,0,-0.155,-0.155,0,0
"timeline","PF",-0.221,-0.221,0,-0.221,-0.221,0,0
"pers_control","PF",0.336,0.336,0,0.336,0.336,0,0
"treat_control","PF",0.196,0.196,0,0.196,0.196,0,0
"identity","PF",-0.073,-0.073,0,-0.073,-0.073,0,0
"concern","PF",-0.152,-0.152,0,-0.152,-0.152,0,0
"coherence","PF",0.1,0.1,0,0.1,0.1,0,0
"emot_rep","PF",0.005,0.005,0,0.005,0.005,0,0
"AC","PF",0.288,0.288,0,0.288,0.288,0,0
"DEN","PF",-0.196,-0.196,0,-0.196,-0.196,0,0
"SU","PF",0.196,0.196,0,0.196,0.196,0,0
"UES","PF",0.162,0.162,0,0.162,0.162,0,0
"UIS","PF",0.22,0.22,0,0.22,0.22,0,0
"BD","PF",-0.226,-0.226,0,-0.226,-0.226,0,0
"VEN","PF",0.278,0.278,0,0.278,0.278,0,0
"consequences","PLA",-0.179,-0.179,0,-0.179,-0.179,0,0
"timeline","PLA",-0.122,-0.122,0,-0.122,-0.122,0,0
"pers_control","PLA",0.015,0.015,0,0.015,0.015,0,0
"treat_control","PLA",0.333,0.333,0,0.333,0.333,0,0
"identity","PLA",0.045,0.045,0,0.045,0.045,0,0
"concern","PLA",0.103,0.103,0,0.103,0.103,0,0
"coherence","PLA",0.066,0.066,0,0.066,0.066,0,0
"emot_rep","PLA",0.226,0.226,0,0.226,0.226,0,0
"AC","PLA",0.511,0.511,0,0.511,0.511,0,0
"DEN","PLA",-0.179,-0.179,0,-0.179,-0.179,0,0
"SU","PLA",0.028,0.028,0,0.028,0.028,0,0
"UES","PLA",0.399,0.399,0,0.399,0.399,0,0
"UIS","PLA",0.516,0.516,0,0.516,0.516,0,0
"BD","PLA",-0.39,-0.39,0,-0.39,-0.39,0,0
"VEN","PLA",0.18,0.18,0,0.18,0.18,0,0
"PF","PLA",0.39,0.39,0,0.39,0.39,0,0
"consequences","HUM",0.068,0.068,0,0.068,0.068,0,0
"timeline","HUM",-0.028,-0.028,0,-0.028,-0.028,0,0
"pers_control","HUM",-0.038,-0.038,0,-0.038,-0.038,0,0
"treat_control","HUM",-0.163,-0.163,0,-0.163,-0.163,0,0
"identity","HUM",0.027,0.027,0,0.027,0.027,0,0
"concern","HUM",-0.105,-0.105,0,-0.105,-0.105,0,0
"coherence","HUM",-0.151,-0.151,0,-0.151,-0.151,0,0
"emot_rep","HUM",-0.115,-0.115,0,-0.115,-0.115,0,0
"AC","HUM",-0.126,-0.126,0,-0.126,-0.126,0,0
"DEN","HUM",0.125,0.125,0,0.125,0.125,0,0
"SU","HUM",0.186,0.186,0,0.186,0.186,0,0
"UES","HUM",-0.054,-0.054,0,-0.054,-0.054,0,0
"UIS","HUM",-0.056,-0.056,0,-0.056,-0.056,0,0
"BD","HUM",0.083,0.083,0,0.083,0.083,0,0
"VEN","HUM",0.142,0.142,0,0.142,0.142,0,0
"PF","HUM",-0.087,-0.087,0,-0.087,-0.087,0,0
"PLA","HUM",-0.154,-0.154,0,-0.154,-0.154,0,0
"consequences","ACC",-0.066,-0.066,0,-0.066,-0.066,0,0
"timeline","ACC",-0.002,-0.002,0,-0.002,-0.002,0,0
"pers_control","ACC",0.181,0.181,0,0.181,0.181,0,0
"treat_control","ACC",0.027,0.027,0,0.027,0.027,0,0
"identity","ACC",0.052,0.052,0,0.052,0.052,0,0
"concern","ACC",-0.098,-0.098,0,-0.098,-0.098,0,0
"coherence","ACC",0.089,0.089,0,0.089,0.089,0,0
"emot_rep","ACC",-0.072,-0.072,0,-0.072,-0.072,0,0
"AC","ACC",0.146,0.146,0,0.146,0.146,0,0
"DEN","ACC",-0.047,-0.047,0,-0.047,-0.047,0,0
"SU","ACC",0.053,0.053,0,0.053,0.053,0,0
"UES","ACC",0.058,0.058,0,0.058,0.058,0,0
"UIS","ACC",0.148,0.148,0,0.148,0.148,0,0
"BD","ACC",-0.045,-0.045,0,-0.045,-0.045,0,0
"VEN","ACC",0.133,0.133,0,0.133,0.133,0,0
"PF","ACC",0.313,0.313,0,0.313,0.313,0,0
"PLA","ACC",0.246,0.246,0,0.246,0.246,0,0
"HUM","ACC",-0.094,-0.094,0,-0.094,-0.094,0,0
"consequences","SB",0.429,0.429,0,0.429,0.429,0,0
"timeline","SB",0.128,0.128,0,0.128,0.128,0,0
"pers_control","SB",-0.23,-0.23,0,-0.23,-0.23,0,0
"treat_control","SB",0.068,0.068,0,0.068,0.068,0,0
"identity","SB",0.312,0.312,0,0.312,0.312,0,0
"concern","SB",0.197,0.197,0,0.197,0.197,0,0
"coherence","SB",-0.012,-0.012,0,-0.012,-0.012,0,0
"emot_rep","SB",0.226,0.226,0,0.226,0.226,0,0
"AC","SB",0.009,0.009,0,0.009,0.009,0,0
"DEN","SB",0.075,0.075,0,0.075,0.075,0,0
"SU","SB",-0.207,-0.207,0,-0.207,-0.207,0,0
"UES","SB",0.064,0.064,0,0.064,0.064,0,0
"UIS","SB",0.108,0.108,0,0.108,0.108,0,0
"BD","SB",0.138,0.138,0,0.138,0.138,0,0
"VEN","SB",-0.011,-0.011,0,-0.011,-0.011,0,0
"PF","SB",0.024,0.024,0,0.024,0.024,0,0
"PLA","SB",0.014,0.014,0,0.014,0.014,0,0
"HUM","SB",0.095,0.095,0,0.095,0.095,0,0
"ACC","SB",0.132,0.132,0,0.132,0.132,0,0
"consequences","PSYCH_OPEN",-0.194,-0.194,0,-0.194,-0.194,0,0
"timeline","PSYCH_OPEN",-0.104,-0.104,0,-0.104,-0.104,0,0
"pers_control","PSYCH_OPEN",0.144,0.144,0,0.144,0.144,0,0
"treat_control","PSYCH_OPEN",0.099,0.099,0,0.099,0.099,0,0
"identity","PSYCH_OPEN",-0.138,-0.138,0,-0.138,-0.138,0,0
"concern","PSYCH_OPEN",-0.134,-0.134,0,-0.134,-0.134,0,0
"coherence","PSYCH_OPEN",0.305,0.305,0,0.305,0.305,0,0
"emot_rep","PSYCH_OPEN",-0.139,-0.139,0,-0.139,-0.139,0,0
"AC","PSYCH_OPEN",0.069,0.069,0,0.069,0.069,0,0
"DEN","PSYCH_OPEN",-0.24,-0.24,0,-0.24,-0.24,0,0
"SU","PSYCH_OPEN",0.127,0.127,0,0.127,0.127,0,0
"UES","PSYCH_OPEN",0.172,0.172,0,0.172,0.172,0,0
"UIS","PSYCH_OPEN",0.183,0.183,0,0.183,0.183,0,0
"BD","PSYCH_OPEN",-0.16,-0.16,0,-0.16,-0.16,0,0
"VEN","PSYCH_OPEN",0.162,0.162,0,0.162,0.162,0,0
"PF","PSYCH_OPEN",-0.059,-0.059,0,-0.059,-0.059,0,0
"PLA","PSYCH_OPEN",0.041,0.041,0,0.041,0.041,0,0
"HUM","PSYCH_OPEN",-0.091,-0.091,0,-0.091,-0.091,0,0
"ACC","PSYCH_OPEN",-0.039,-0.039,0,-0.039,-0.039,0,0
"SB","PSYCH_OPEN",-0.298,-0.298,0,-0.298,-0.298,0,0
"consequences","HELP_SEEK",-0.148,-0.148,0,-0.148,-0.148,0,0
"timeline","HELP_SEEK",-0.205,-0.205,0,-0.205,-0.205,0,0
"pers_control","HELP_SEEK",0.122,0.122,0,0.122,0.122,0,0
"treat_control","HELP_SEEK",0.42,0.42,0,0.42,0.42,0,0
"identity","HELP_SEEK",-0.05,-0.05,0,-0.05,-0.05,0,0
"concern","HELP_SEEK",-0.165,-0.165,0,-0.165,-0.165,0,0
"coherence","HELP_SEEK",0.295,0.295,0,0.295,0.295,0,0
"emot_rep","HELP_SEEK",-0.037,-0.037,0,-0.037,-0.037,0,0
"AC","HELP_SEEK",0.376,0.376,0,0.376,0.376,0,0
"DEN","HELP_SEEK",-0.179,-0.179,0,-0.179,-0.179,0,0
"SU","HELP_SEEK",-0.038,-0.038,0,-0.038,-0.038,0,0
"UES","HELP_SEEK",0.369,0.369,0,0.369,0.369,0,0
"UIS","HELP_SEEK",0.423,0.423,0,0.423,0.423,0,0
"BD","HELP_SEEK",-0.382,-0.382,0,-0.382,-0.382,0,0
"VEN","HELP_SEEK",0.303,0.303,0,0.303,0.303,0,0
"PF","HELP_SEEK",0.269,0.269,0,0.269,0.269,0,0
"PLA","HELP_SEEK",0.416,0.416,0,0.416,0.416,0,0
"HUM","HELP_SEEK",-0.294,-0.294,0,-0.294,-0.294,0,0
"ACC","HELP_SEEK",0.11,0.11,0,0.11,0.11,0,0
