"model","term","estimate","std.error","statistic","df","p.value","2.5 %","97.5 %","conf.low","conf.high"
"DEN","(Intercept)",2.93065734954784,1.13682719731977,2.57792684451716,103.045247277353,0.0113531489787928,0.67604049642418,5.18527420267149,0.67604049642418,5.18527420267149
"DEN","consequences",0.0215061607236065,0.0971727287140722,0.221318892740861,103.045247277353,0.825282115983764,-0.171212022250278,0.214224343697491,-0.171212022250278,0.214224343697491
"DEN","timeline",0.12603685770941,0.0526462566002493,2.39403265965188,103.045247277353,0.0184722432549144,0.0216259695246099,0.230447745894211,0.0216259695246099,0.230447745894211
"DEN","pers_control",-0.0374331874207384,0.0735654917633217,-0.508841666432004,103.045247277353,0.611951003989174,-0.183332228127152,0.108465853285675,-0.183332228127152,0.108465853285675
"DEN","identity",0.0664610324931522,0.0740998111190512,0.896912306380561,103.045247277353,0.371856390282935,-0.0804976991031502,0.213419764089455,-0.0804976991031502,0.213419764089455
"DEN","coherence",-0.142269112327142,0.0551850428983573,-2.57803754160672,103.045247277353,0.0113497376649635,-0.251715058071868,-0.0328231665824165,-0.251715058071868,-0.0328231665824165
"UES","(Intercept)",1.32748608385534,0.690815639178501,1.92162135390269,107.042863133435,0.0573125591198299,-0.0419690800589654,2.69694124776965,-0.0419690800589654,2.69694124776965
"UES","treat_control",0.204372831231295,0.0664810441061994,3.07415194780668,107.042863133435,0.00267865228426817,0.0725825184614287,0.336163144001161,0.0725825184614287,0.336163144001161
"UES","coherence",0.17719346762569,0.0611393755814752,2.89818903023567,107.042863133435,0.00455340230416256,0.055992341217906,0.298394594033474,0.055992341217906,0.298394594033474
"UES","emot_rep",0.136350833119014,0.0587363530872712,2.32140447869519,107.042863133435,0.0221590011421675,0.0199133967278647,0.252788269510162,0.0199133967278647,0.252788269510162
"UIS","(Intercept)",1.63790276599659,0.712558470839495,2.29862226473416,105.044037170705,0.0235062848658765,0.225037850520992,3.05076768147219,0.225037850520992,3.05076768147219
"UIS","treat_control",0.206352388265158,0.0611985781519976,3.37184938762213,105.044037170705,0.00104598297579213,0.0850075057236872,0.32769727080663,0.0850075057236872,0.32769727080663
"UIS","identity",0.102971037243229,0.0668732641323156,1.53979379620965,105.044037170705,0.126617675173742,-0.0296256443519909,0.235567718838449,-0.0296256443519909,0.235567718838449
"UIS","coherence",0.130018694767866,0.0573004430064107,2.26906962575001,105.044037170705,0.0253077882723377,0.0164030563633617,0.243634333172371,0.0164030563633617,0.243634333172371
"UIS","emot_rep",0.0555319355538113,0.0579286592559687,0.958626287351706,105.044037170705,0.339948286772133,-0.0593293335387777,0.1703932046464,-0.0593293335387777,0.1703932046464
"BD","(Intercept)",2.75386256167504,1.30316218774432,2.11321552111774,105.044037170705,0.0369509977186674,0.169945297918165,5.33777982543192,0.169945297918165,5.33777982543192
"BD","consequences",0.147688332356186,0.101920996422031,1.44904717909784,105.044037170705,0.150303170939983,-0.0544011885575847,0.349777853269956,-0.0544011885575847,0.349777853269956
"BD","timeline",0.10499881652992,0.0654265991987375,1.60483378038617,105.044037170705,0.111532782717546,-0.0247294097556697,0.23472704281551,-0.0247294097556697,0.23472704281551
"BD","pers_control",-0.0403655875883276,0.0910022223534765,-0.44356705302797,105.044037170705,0.658267920887274,-0.220805302299821,0.140074127123165,-0.220805302299821,0.140074127123165
"VEN","(Intercept)",5.13645701007135,0.660267069449989,7.77936269690094,106.043445765261,5.0594541286199e-12,3.82741951776793,6.44549450237476,3.82741951776793,6.44549450237476
"VEN","timeline",-0.127079157641809,0.0501882402951645,-2.53205047426324,106.043445765261,0.0128053406569037,-0.226581754786068,-0.0275765604975489,-0.226581754786068,-0.0275765604975489
"VEN","pers_control",0.0944206172250795,0.0594705284472847,1.58768754356664,106.043445765261,0.11533434356703,-0.0234849319482902,0.212326166398449,-0.0234849319482902,0.212326166398449
"PF","(Intercept)",3.20954275738926,0.839384106730642,3.8236877868587,106.043445765261,0.000222248129935166,1.54538999709891,4.87369551767961,1.54538999709891,4.87369551767961
"PF","timeline",-0.113052279050401,0.0562590185931634,-2.00949611062251,106.043445765261,0.0470246919558556,-0.224590727696633,-0.00151383040416947,-0.224590727696633,-0.00151383040416947
