"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"38","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","3","1","1","1","4","2","1","1","1","1","1","4","1","1","1","1","3"
"39","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","3","1"
"40","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","4","1","1","1","2","1"
"41","1","1","1","2","1","1","1","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"42","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","2","1","2","4","1","4","3","3","4","2","2","3","2","1","1","4","1","4","1","2","3","4","1","4","2","3","1","1","4","2","3","1","4","2","4","1","1","2","1","1"
"44","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","3","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"45","1","4","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"46","4","1","1","1","1","1","4","1","1","3","2","1","1","1","2","2","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","4","1","1","1","1","1","1","1","3"
"47","1","2","4","1","3","1","1","1","1","1","4","1","3","1","1","1","1","4","1","1","1","1","1","1","1","4","1","3","1","1","1","3","1","1","2","4","3","1","1","1"
"48","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","1","4","2","2"
"49","4","1","1","1","4","2","1","1","1","4","1","4","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","3","2","1","1","1","1","1","4","1","2","1","1","4"
