"category","observed_proportion","mean_imputed_proportion","min_imputed_proportion","max_imputed_proportion"
"1",0.171875,0.320408163265306,0.183673469387755,0.510204081632653
"2",0.359375,0.394897959183673,0.285714285714286,0.551020408163265
"3",0.28125,0.185204081632653,0.0612244897959184,0.285714285714286
"4",0.1875,0.0994897959183673,0,0.183673469387755
