"category","observed_proportion","mean_imputed_proportion","min_imputed_proportion","max_imputed_proportion"
"1",0.84375,0.760714285714286,0.63265306122449,0.938775510204082
"2",0.0625,0.0846938775510204,0.0204081632653061,0.204081632653061
"3",0.046875,0.0755102040816326,0.0204081632653061,0.142857142857143
"4",0.046875,0.0790816326530612,0,0.224489795918367
