"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","3","4","2","2","2","4","3","2","3","4","2","1","2","2","2","4","2","2","3","2","2","2","3","2","2","2","3","3","3","2","1","2","1","3","2","2","2","2","2","3"
"2","3","3","2","3","3","2","2","1","4","2","2","4","2","1","3","4","2","2","1","2","2","3","1","2","4","3","3","2","2","1","4","2","4","3","1","3","4","2","1","2"
"3","2","1","1","2","2","1","4","2","2","1","2","2","2","1","2","2","2","2","2","1","3","2","2","2","4","3","2","2","2","4","4","3","3","4","3","4","3","2","2","1"
"4","1","3","1","2","2","1","3","4","1","2","2","3","1","1","2","3","2","1","2","2","2","2","1","2","3","2","2","1","1","3","3","3","2","1","1","4","2","1","3","2"
"5","2","2","2","1","2","1","1","2","2","1","1","2","3","1","1","3","1","1","1","2","2","2","2","4","1","1","1","2","2","1","3","1","4","2","2","1","1","3","2","1"
"6","2","1","3","4","2","1","1","2","2","1","1","1","1","3","1","1","2","1","3","1","2","2","2","1","1","3","1","1","2","1","2","1","2","2","2","2","1","1","1","2"
"7","2","1","2","2","1","2","1","3","2","4","1","1","1","2","1","1","1","3","1","1","3","2","1","1","3","1","1","1","4","1","1","2","1","1","1","4","4","1","1","4"
"8","1","1","3","3","1","2","1","3","2","1","2","3","2","1","1","1","1","1","3","4","2","2","4","3","2","2","1","1","2","1","2","1","1","2","2","2","1","1","1","2"
"9","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","2","3","2","1","2","1","1","2","2","2","1","2","1","1","4","1","2","3","1","2","1","1","1"
"10","4","3","4","4","4","4","2","3","3","4","4","4","3","4","4","3","3","4","2","3","3","4","4","4","4","3","4","3","4","4","3","3","4","4","3","2","4","4","2","4"
"11","2","2","2","2","1","3","2","2","1","1","1","1","2","1","2","3","1","3","1","1","2","1","1","2","1","1","1","2","1","2","2","2","1","1","2","2","2","2","1","2"
"12","1","2","1","1","1","3","1","3","1","3","2","3","2","2","2","2","1","2","2","2","3","3","1","1","2","1","2","1","1","1","1","2","1","3","2","2","1","3","1","2"
"13","2","3","1","2","1","4","2","3","1","2","2","2","1","3","1","3","3","3","1","3","1","2","1","3","4","1","2","4","2","1","1","3","2","2","2","2","1","2","1","2"
"14","1","1","2","2","3","1","1","2","1","2","3","2","1","4","2","2","2","1","1","1","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","1","1","2","2","3"
"15","3","1","2","3","4","2","3","1","2","2","3","3","3","2","3","2","3","3","1","3","2","2","3","3","2","3","3","4","2","3","2","3","3","2","3","3","3","2","3","4"
"16","3","2","4","2","4","1","2","2","1","2","3","1","2","2","3","2","2","1","2","4","2","1","2","2","2","3","2","2","2","2","2","1","2","4","2","2","3","3","4","1"
"17","3","4","3","2","1","2","4","3","2","1","3","4","2","1","3","3","3","1","2","3","3","1","1","2","2","2","3","2","2","4","3","2","3","2","2","2","1","4","2","2"
"18","1","2","3","3","1","1","2","2","2","3","3","2","2","1","3","2","1","3","3","2","2","3","3","2","2","3","4","2","3","2","3","1","3","2","2","1","4","1","1","3"
"19","2","4","2","1","4","2","1","3","1","1","1","2","3","2","2","2","3","2","2","2","2","2","2","3","3","1","1","2","3","1","2","1","2","1","2","3","4","2","3","1"
"20","1","3","1","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","3","1","4","2","1","3","4","2","1","1","2","2","1","4","1"
"21","3","3","4","2","3","4","2","2","2","4","3","3","3","2","3","4","3","1","4","3","2","4","1","3","1","2","1","4","1","3","3","1","3","3","2","3","2","4","2","1"
"22","3","4","2","3","4","3","2","3","2","3","2","1","2","3","3","2","2","2","2","4","3","2","3","4","2","2","2","2","4","2","2","3","3","4","2","2","4","3","2","3"
"23","1","1","3","2","2","4","2","3","1","2","1","3","4","2","3","3","4","3","1","2","3","4","2","4","2","4","2","2","2","1","2","2","4","2","2","4","3","3","3","1"
"24","4","2","4","4","2","3","2","2","1","2","2","2","3","1","1","4","2","2","3","4","3","3","2","4","2","3","3","1","2","2","2","2","2","2","3","2","2","4","4","2"
