"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"25","1","2","1","1","1","2","3","2","2","3","1","1","2","1","2","1","1","1","2","1","1","1","1","3","1","2","1","1","2","1","1","1","2","3","1","2","2","1","2","1"
"26","2","2","1","2","1","2","2","1","3","2","1","1","1","2","3","1","1","2","2","1","2","1","3","1","2","2","3","4","2","1","2","3","1","1","3","1","1","2","4","2"
"27","2","2","2","1","1","4","4","1","1","1","2","1","2","2","3","3","2","1","1","1","1","1","2","3","1","2","1","1","3","1","1","2","3","1","1","2","4","1","2","2"
"28","1","2","2","1","1","2","1","2","2","4","4","2","2","1","1","1","2","1","2","2","2","1","1","2","2","1","1","2","2","1","2","1","1","1","3","1","1","1","1","3"
"29","4","2","4","1","2","1","1","3","1","1","1","2","2","3","2","2","1","1","2","2","1","2","1","2","2","2","1","1","1","1","1","2","1","2","2","1","1","1","1","1"
"30","3","1","3","4","1","1","4","1","3","4","3","2","1","2","2","2","3","2","3","2","1","2","1","2","2","4","1","3","3","4","2","3","2","2","3","1","2","2","4","3"
"31","1","2","1","2","2","4","2","1","1","2","3","1","2","1","2","2","3","1","2","2","2","2","2","2","1","3","3","2","3","2","3","1","1","2","3","2","2","3","2","1"
"32","2","2","1","1","1","2","2","2","2","1","2","2","3","2","1","2","3","1","1","1","2","1","2","1","2","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1"
"33","4","2","2","1","2","3","2","3","2","4","4","2","3","3","4","2","2","3","4","3","4","2","3","2","2","2","2","2","1","3","3","2","3","3","2","4","2","1","2","2"
"34","1","1","1","2","2","2","1","1","2","2","2","2","2","1","4","3","2","1","3","1","2","1","1","1","2","1","3","2","2","4","1","3","4","2","2","2","3","2","2","3"
"35","1","1","3","4","2","2","3","2","2","1","3","1","2","2","4","2","1","1","1","2","1","2","2","2","1","3","2","1","3","1","1","1","1","1","1","2","4","1","1","1"
"36","2","3","1","2","2","2","3","1","3","1","2","3","1","4","1","3","4","2","2","1","2","3","2","2","2","2","1","2","2","1","4","2","3","1","3","2","3","3","2","1"
"37","2","1","2","4","1","1","4","1","2","1","3","1","2","1","2","1","1","1","2","2","1","1","2","1","2","1","1","1","2","2","1","4","3","2","1","2","1","1","2","1"
"38","4","3","3","3","2","2","3","3","2","4","4","2","1","4","1","2","2","2","4","3","3","2","2","2","1","2","1","1","4","4","2","3","1","3","2","4","1","4","1","2"
"39","1","1","3","3","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","1","1","1","2","1","1","1","2","4","2","2","2","2","2","1","1","2","2","1","4","1"
"40","1","1","3","2","2","1","2","2","1","1","1","3","1","2","4","1","2","1","1","1","1","1","2","1","2","2","1","1","2","3","2","2","1","3","2","3","2","2","1","1"
"41","3","2","2","3","1","1","3","1","4","3","1","3","3","1","2","4","2","2","2","2","2","2","3","2","2","2","3","2","3","3","4","2","3","4","2","2","2","2","3","3"
"42","1","2","1","4","1","1","2","1","1","2","1","3","1","4","1","4","2","1","1","3","2","2","1","2","1","2","1","3","2","4","2","2","4","2","3","2","3","3","1","2"
"43","2","1","4","1","1","2","2","2","2","2","2","3","3","2","2","1","1","3","4","2","1","3","2","2","2","2","2","1","3","2","1","3","3","1","3","2","1","2","1","2"
"44","2","3","4","2","3","2","2","3","4","3","2","3","4","2","3","2","4","4","4","2","3","2","3","4","1","2","2","3","3","4","3","2","3","4","2","4","4","2","4","4"
"45","2","1","2","4","1","1","1","1","1","2","2","1","2","2","2","1","1","1","1","1","4","2","2","2","1","3","1","2","2","1","1","1","1","2","3","1","1","1","2","2"
"46","2","1","2","1","2","4","2","1","2","2","2","2","1","2","1","2","2","1","2","3","1","2","1","3","2","3","1","1","3","2","3","1","2","4","1","3","3","2","1","1"
"47","3","2","1","1","1","3","1","2","1","2","2","1","1","4","1","1","3","1","2","2","1","2","2","3","1","3","2","2","1","2","2","2","2","1","1","2","1","4","2","1"
"48","1","2","2","3","3","2","4","4","2","3","1","1","2","4","2","3","3","1","3","2","1","1","2","3","2","2","2","1","1","4","3","3","1","1","3","2","1","2","2","1"
"49","1","1","3","2","1","2","3","1","3","4","3","3","3","4","3","2","3","1","2","2","2","2","4","1","2","2","2","2","4","1","4","3","2","2","2","2","2","2","2","1"
